sentence,keywords,code,theme,label
fixing frontend bugs,"frontend, javascript",function App() { return <h1>Hi</h1>; },Web Development,1
testing a neural network,,predict(X_test),Machine Learning,1
improving accuracy,,function App() { return <h1>Hi</h1>; },Machine Learning,0
making something idk,"training, dataset",import sklearn,Web Development,0
improving accuracy,"accuracy, ai",,Machine Learning,1
working on something,"api, javascript, rows",DELETE FROM users WHERE id=1;,Web Development,0
handling data storage,"columns, query, rows",INSERT INTO users VALUES ('John');,Databases,1
building a website,"javascript, react, columns",INSERT INTO users VALUES ('John');,Web Development,0
analyzing data,"training, ai, sql",INSERT INTO users VALUES ('John');,Machine Learning,0
improving accuracy,"training, prediction, accuracy, dataset",predict(X_test),Machine Learning,1
managing tables,,<div>Hello</div>,Databases,0
testing a neural network,"training, neural network, columns",CREATE TABLE users(id INT);,Machine Learning,0
debugging rn,"html, javascript, backend",console.log('hello'),Web Development,1
fixing frontend bugs,,fetch('/api/data'),Databases,0
,"backend, frontend, css",,Web Development,1
fixing frontend bugs,"html, css, frontend, api",,Web Development,1
,"api, javascript, query",INSERT INTO users VALUES ('John');,Web Development,0
working on something,"rows, sql",DELETE FROM users WHERE id=1;,Databases,1
uh fixing stuff,"programming, typing",int a = 5;,Machine Learning,0
building a website,"frontend, css, dataset",loss.backward(),Web Development,0
coding lang eh,"typing, computer",echo 'hi';,Databases,0
working on a web app,"javascript, react, backend, api",function App() { return <h1>Hi</h1>; },Machine Learning,0
making something idk,"typing, programming",console.log('test'),Databases,0
handling data storage,"columns, database, dataset","model.fit(X, y)",Databases,0
idk doing coding,"code, computer",echo 'hi';,Web Development,0
trying to fix bugs,"computer, typing",int a = 5;,Web Development,0
working on something,"programming, typing",int a = 5;,Web Development,0
fetching records,"index, database, query",CREATE TABLE users(id INT);,Machine Learning,0
testing a neural network,"model, dataset, react",document.getElementById('app'),Machine Learning,0
uh fixing stuff,"javascript, css, prediction",import sklearn,Web Development,0
,"prediction, ai, training",import sklearn,Machine Learning,1
training a model,"accuracy, ai, css",fetch('/api/data'),Machine Learning,0
creating a responsive layout,"css, backend",fetch('/api/data'),Databases,0
working on something,"model, ai, neural network",predict(X_test),Machine Learning,1
training a model,"accuracy, training, prediction",,Machine Learning,1
working on something,"code, typing",echo 'hi';,Databases,0
building a website,"css, react, node, frontend",<div>Hello</div>,Web Development,1
working on something,"react, html, database",CREATE TABLE users(id INT);,Web Development,0
analyzing data,,,Machine Learning,1
fixing frontend bugs,"frontend, react, node",fetch('/api/data'),Machine Learning,0
making a login system,"javascript, css, model",predict(X_test),Web Development,0
coding lang eh,"code, computer",print('hello'),Databases,0
fetching records,"columns, query",DELETE FROM users WHERE id=1;,Web Development,0
making a login system,"api, html, css, react",function App() { return <h1>Hi</h1>; },Web Development,1
handling data storage,"index, table, rows",SELECT * FROM users;,Web Development,0
creating a responsive layout,"backend, react, javascript, css",fetch('/api/data'),Web Development,1
managing tables,"sql, index, rows, columns",,Databases,1
training a model,"accuracy, training",loss.backward(),Web Development,0
fetching records,,INSERT INTO users VALUES ('John');,Web Development,0
managing tables,"index, sql, columns, database",UPDATE users SET name='Alex';,Databases,1
testing a neural network,"accuracy, prediction","model.fit(X, y)",Web Development,0
fetching records,"database, rows, react",fetch('/api/data'),Databases,0
trying to fix bugs,"programming, typing",console.log('test'),Machine Learning,0
idk doing coding,"computer, programming",int a = 5;,Machine Learning,0
debugging rn,"typing, programming",echo 'hi';,Databases,0
building a website,"backend, javascript, training",loss.backward(),Web Development,0
working on a web app,,SELECT * FROM users;,Web Development,0
uh fixing stuff,"sql, database, table, index",DELETE FROM users WHERE id=1;,Machine Learning,0
coding lang eh,"table, index, database, rows",UPDATE users SET name='Alex';,Databases,1
,"api, node, css, html",function App() { return <h1>Hi</h1>; },Web Development,1
idk doing coding,"programming, code",console.log('test'),Web Development,0
making a login system,"api, css, database",INSERT INTO users VALUES ('John');,Web Development,0
training a model,"training, neural network, prediction","model.fit(X, y)",Web Development,0
building a website,"api, html",fetch('/api/data'),Web Development,1
making something idk,"table, sql",CREATE TABLE users(id INT);,Web Development,0
managing tables,"rows, query, frontend",fetch('/api/data'),Databases,0
testing a neural network,"prediction, model",,Machine Learning,1
coding lang eh,"computer, programming",echo 'hi';,Web Development,0
debugging rn,"dataset, model, ai, accuracy",predict(X_test),Machine Learning,1
,"ai, neural network",from tensorflow import keras,Machine Learning,1
coding lang eh,"computer, typing",int a = 5;,Machine Learning,0
building a website,"react, html, dataset",,Web Development,0
making a login system,"css, javascript, node",function App() { return <h1>Hi</h1>; },Web Development,1
working on predictions,"model, ai, html",document.getElementById('app'),Machine Learning,0
coding lang eh,"typing, programming",echo 'hi';,Web Development,0
,"node, api, backend, javascript",<div>Hello</div>,Web Development,1
fetching records,"columns, table, rows",SELECT * FROM users;,Databases,1
handling data storage,"database, index, react",function App() { return <h1>Hi</h1>; },Databases,0
making a login system,"css, api, node",console.log('hello'),Machine Learning,0
building a website,"node, frontend, accuracy",import sklearn,Web Development,0
fetching records,"columns, rows, database, table",UPDATE users SET name='Alex';,Databases,1
working on predictions,"accuracy, neural network, prediction",predict(X_test),Web Development,0
,"columns, query, database",,Databases,1
making a login system,"api, css, node, html",,Web Development,1
writing SQL queries,"columns, rows",SELECT * FROM users;,Databases,1
training a model,"prediction, dataset, ai, accuracy",,Machine Learning,1
improving accuracy,"neural network, training, dataset",loss.backward(),Web Development,0
working on a web app,,INSERT INTO users VALUES ('John');,Web Development,0
writing SQL queries,"index, database, table, rows",,Databases,1
working on a web app,"javascript, css, html, frontend",fetch('/api/data'),Web Development,1
improving accuracy,"dataset, ai, table",SELECT * FROM users;,Machine Learning,0
creating a responsive layout,"html, css, javascript, react",,Web Development,1
debugging rn,"computer, code",int a = 5;,Machine Learning,0
debugging rn,"programming, typing",echo 'hi';,Web Development,0
building a website,"node, api",function App() { return <h1>Hi</h1>; },Machine Learning,0
analyzing data,"prediction, accuracy, model",loss.backward(),Machine Learning,1
working on predictions,"neural network, ai, dataset",import sklearn,Databases,0
debugging rn,"programming, code",echo 'hi';,Machine Learning,0
building a website,"node, css, dataset","model.fit(X, y)",Web Development,0
improving accuracy,"training, ai, javascript",console.log('hello'),Machine Learning,0
coding lang eh,"sql, columns",,Machine Learning,0
handling data storage,,UPDATE users SET name='Alex';,Databases,1
creating a responsive layout,"react, frontend, columns",UPDATE users SET name='Alex';,Web Development,0
testing a neural network,"prediction, accuracy, model",from tensorflow import keras,Machine Learning,1
building a website,"node, api, html, react",function App() { return <h1>Hi</h1>; },Web Development,1
working on something,,import sklearn,Web Development,0
uh fixing stuff,,DELETE FROM users WHERE id=1;,Databases,1
testing a neural network,"ai, neural network",import sklearn,Machine Learning,1
making a login system,"api, backend, node, css",console.log('hello'),Databases,0
analyzing data,"ai, prediction, accuracy, dataset",loss.backward(),Machine Learning,1
uh fixing stuff,"index, rows",DELETE FROM users WHERE id=1;,Databases,1
analyzing data,"accuracy, dataset, neural network",predict(X_test),Machine Learning,1
debugging rn,"computer, programming",int a = 5;,Databases,0
making a login system,"backend, react, api",<div>Hello</div>,Web Development,1
improving accuracy,"ai, prediction, model","model.fit(X, y)",Machine Learning,1
analyzing data,"model, dataset, columns",SELECT * FROM users;,Machine Learning,0
testing a neural network,"accuracy, dataset, training, prediction",import sklearn,Machine Learning,1
testing a neural network,"dataset, ai, table",CREATE TABLE users(id INT);,Machine Learning,0
trying to fix bugs,"typing, programming",print('hello'),Databases,0
coding lang eh,"columns, table, html",document.getElementById('app'),Databases,0
,"model, training, accuracy, neural network",loss.backward(),Machine Learning,1
working on predictions,"prediction, model, accuracy","model.fit(X, y)",Machine Learning,1
,"frontend, html, css, javascript",document.getElementById('app'),Web Development,1
testing a neural network,"ai, neural network",import sklearn,Databases,0
creating a responsive layout,"api, node",console.log('hello'),Web Development,1
fixing frontend bugs,"javascript, react, ai",import sklearn,Web Development,0
optimizing database,"database, table, api",,Databases,0
creating a responsive layout,,document.getElementById('app'),Machine Learning,0
creating a responsive layout,"react, html, model",predict(X_test),Web Development,0
making a login system,"node, css, frontend, html",fetch('/api/data'),Web Development,1
trying to fix bugs,"computer, typing",print('hello'),Web Development,0
managing tables,,fetch('/api/data'),Databases,0
analyzing data,"neural network, training",,Machine Learning,1
trying to fix bugs,"columns, database, sql, index",SELECT * FROM users;,Databases,1
fetching records,"sql, index, rows, columns",CREATE TABLE users(id INT);,Databases,1
uh fixing stuff,"dataset, neural network, ai",loss.backward(),Machine Learning,1
handling data storage,"sql, query, columns, table",DELETE FROM users WHERE id=1;,Databases,1
managing tables,"query, sql, columns",SELECT * FROM users;,Machine Learning,0
working on a web app,,SELECT * FROM users;,Web Development,0
idk doing coding,"computer, typing",int a = 5;,Databases,0
managing tables,"sql, rows",CREATE TABLE users(id INT);,Web Development,0
idk doing coding,"code, computer",echo 'hi';,Web Development,0
working on a web app,"css, node, rows",,Web Development,0
writing SQL queries,"index, rows, query",SELECT * FROM users;,Databases,1
debugging rn,"typing, code",print('hello'),Machine Learning,0
idk doing coding,"sql, index, rows, table",,Databases,1
training a model,"model, prediction",loss.backward(),Machine Learning,1
debugging rn,"computer, code",print('hello'),Machine Learning,0
testing a neural network,"accuracy, model, dataset, training",import sklearn,Machine Learning,1
debugging rn,"computer, programming",echo 'hi';,Web Development,0
idk doing coding,"react, css",console.log('hello'),Web Development,1
uh fixing stuff,"neural network, training, database",DELETE FROM users WHERE id=1;,Machine Learning,0
creating a responsive layout,"react, javascript, ai","model.fit(X, y)",Web Development,0
managing tables,"database, columns, table",UPDATE users SET name='Alex';,Databases,1
analyzing data,"accuracy, model, ai, neural network",,Databases,0
optimizing database,"columns, query, sql",DELETE FROM users WHERE id=1;,Databases,1
building a website,"node, backend, api, javascript",,Databases,0
testing a neural network,"accuracy, dataset",from tensorflow import keras,Machine Learning,1
writing SQL queries,"index, database",SELECT * FROM users;,Databases,1
fetching records,"query, index",DELETE FROM users WHERE id=1;,Web Development,0
making something idk,"query, database",INSERT INTO users VALUES ('John');,Machine Learning,0
trying to fix bugs,"computer, programming",console.log('test'),Databases,0
trying to fix bugs,"database, columns",UPDATE users SET name='Alex';,Databases,1
managing tables,,,Databases,1
working on something,"prediction, accuracy, training",import sklearn,Machine Learning,1
debugging rn,"prediction, dataset",import sklearn,Machine Learning,1
coding lang eh,"typing, code",console.log('test'),Machine Learning,0
uh fixing stuff,"react, api",<div>Hello</div>,Web Development,1
,"sql, query, backend",fetch('/api/data'),Databases,0
analyzing data,"dataset, prediction, model",from tensorflow import keras,Databases,0
writing SQL queries,"columns, query, table",CREATE TABLE users(id INT);,Databases,1
making a login system,,console.log('hello'),Web Development,1
making a login system,"css, react, frontend",document.getElementById('app'),Web Development,1
training a model,"neural network, ai",predict(X_test),Machine Learning,1
making something idk,"ai, model",predict(X_test),Web Development,0
working on a web app,,function App() { return <h1>Hi</h1>; },Web Development,1
,"database, columns, model","model.fit(X, y)",Databases,0
managing tables,"rows, table",UPDATE users SET name='Alex';,Databases,1
testing a neural network,"accuracy, prediction, dataset",from tensorflow import keras,Machine Learning,1
making something idk,"typing, computer",echo 'hi';,Machine Learning,0
working on a web app,"frontend, css",<div>Hello</div>,Machine Learning,0
,"rows, query, table",INSERT INTO users VALUES ('John');,Web Development,0
optimizing database,"rows, sql, dataset","model.fit(X, y)",Databases,0
optimizing database,"index, columns",INSERT INTO users VALUES ('John');,Databases,1
idk doing coding,"computer, programming",console.log('test'),Machine Learning,0
working on a web app,"react, node, frontend",fetch('/api/data'),Databases,0
testing a neural network,,predict(X_test),Databases,0
debugging rn,"sql, database, model",predict(X_test),Databases,0
,"html, css",<div>Hello</div>,Web Development,1
training a model,"dataset, model, training",,Machine Learning,1
creating a responsive layout,"api, html, frontend, backend",,Databases,0
idk doing coding,"programming, computer",echo 'hi';,Machine Learning,0
managing tables,"sql, database, index",SELECT * FROM users;,Databases,1
creating a responsive layout,"css, api, react, html",document.getElementById('app'),Web Development,1
building a website,"node, html, api, css",console.log('hello'),Web Development,1
fetching records,"rows, sql, ai",loss.backward(),Databases,0
building a website,"javascript, node",console.log('hello'),Web Development,1
working on a web app,"react, javascript, html, node",,Web Development,1
making something idk,"typing, code",echo 'hi';,Databases,0
,"prediction, ai, training, accuracy","model.fit(X, y)",Databases,0
working on something,"model, ai, training",,Machine Learning,1
testing a neural network,"accuracy, prediction, columns",DELETE FROM users WHERE id=1;,Machine Learning,0
training a model,"ai, training, accuracy, neural network",from tensorflow import keras,Machine Learning,1
trying to fix bugs,"code, computer",print('hello'),Web Development,0
building a website,"frontend, css",console.log('hello'),Databases,0
uh fixing stuff,"react, api, css, javascript",fetch('/api/data'),Web Development,1
,"react, node, javascript, css",console.log('hello'),Web Development,1
working on a web app,"api, css, rows",INSERT INTO users VALUES ('John');,Web Development,0
fixing frontend bugs,"javascript, backend, accuracy",from tensorflow import keras,Web Development,0
trying to fix bugs,"typing, computer",print('hello'),Databases,0
making a login system,"node, html, model",loss.backward(),Web Development,0
analyzing data,"training, neural network, query",INSERT INTO users VALUES ('John');,Machine Learning,0
working on something,"programming, computer",echo 'hi';,Machine Learning,0
making something idk,"dataset, training, table",DELETE FROM users WHERE id=1;,Machine Learning,0
testing a neural network,"ai, model",import sklearn,Machine Learning,1
debugging rn,"columns, index, table, rows",SELECT * FROM users;,Machine Learning,0
working on something,"sql, index, database, table",UPDATE users SET name='Alex';,Machine Learning,0
,"columns, index",INSERT INTO users VALUES ('John');,Web Development,0
building a website,"frontend, backend, react",document.getElementById('app'),Web Development,1
fetching records,"index, query, react",,Databases,0
analyzing data,"accuracy, training, ai",predict(X_test),Web Development,0
making a login system,"css, javascript, accuracy",loss.backward(),Web Development,0
idk doing coding,"accuracy, dataset",import sklearn,Web Development,0
managing tables,"sql, database, frontend",console.log('hello'),Databases,0
writing SQL queries,"index, database, sql, query",DELETE FROM users WHERE id=1;,Databases,1
making something idk,"columns, database",UPDATE users SET name='Alex';,Machine Learning,0
,"accuracy, ai, node",<div>Hello</div>,Machine Learning,0
idk doing coding,"programming, typing",print('hello'),Web Development,0
optimizing database,"columns, index, table",CREATE TABLE users(id INT);,Databases,1
fixing frontend bugs,"css, frontend, query",SELECT * FROM users;,Web Development,0
training a model,"prediction, dataset, model, accuracy",import sklearn,Machine Learning,1
making a login system,"backend, frontend, node, api",<div>Hello</div>,Machine Learning,0
trying to fix bugs,"table, query, index, database",UPDATE users SET name='Alex';,Databases,1
building a website,"react, frontend, node",fetch('/api/data'),Databases,0
,"html, react, api",console.log('hello'),Web Development,1
trying to fix bugs,"code, computer",echo 'hi';,Machine Learning,0
testing a neural network,"model, neural network, css",document.getElementById('app'),Machine Learning,0
fetching records,"index, query",UPDATE users SET name='Alex';,Web Development,0
coding lang eh,"rows, table, react",,Databases,0
improving accuracy,"ai, neural network",predict(X_test),Web Development,0
working on something,"code, typing",int a = 5;,Web Development,0
optimizing database,"index, query, database, columns",DELETE FROM users WHERE id=1;,Databases,1
analyzing data,"accuracy, prediction, sql",DELETE FROM users WHERE id=1;,Machine Learning,0
making a login system,"react, javascript",document.getElementById('app'),Web Development,1
working on something,"columns, sql, query",CREATE TABLE users(id INT);,Databases,1
analyzing data,"prediction, neural network, ai, training","model.fit(X, y)",Web Development,0
creating a responsive layout,"javascript, react, node, backend",<div>Hello</div>,Databases,0
idk doing coding,"typing, code",console.log('test'),Machine Learning,0
creating a responsive layout,"api, react, javascript, node",fetch('/api/data'),Databases,0
working on a web app,"frontend, backend, html",console.log('hello'),Machine Learning,0
,"rows, query",INSERT INTO users VALUES ('John');,Databases,1
working on something,"ai, prediction",import sklearn,Machine Learning,1
improving accuracy,"neural network, model, api",console.log('hello'),Machine Learning,0
improving accuracy,"training, dataset, neural network",predict(X_test),Machine Learning,1
managing tables,"table, sql, dataset",loss.backward(),Databases,0
making a login system,"css, frontend, javascript, node",,Databases,0
training a model,"ai, dataset",loss.backward(),Machine Learning,1
managing tables,"index, query, database",INSERT INTO users VALUES ('John');,Databases,1
uh fixing stuff,"api, react, ai",loss.backward(),Web Development,0
handling data storage,"table, query",INSERT INTO users VALUES ('John');,Web Development,0
analyzing data,"neural network, prediction, react",,Machine Learning,0
writing SQL queries,,CREATE TABLE users(id INT);,Databases,1
creating a responsive layout,"frontend, node, react, javascript",console.log('hello'),Web Development,1
analyzing data,"training, model, prediction, dataset",from tensorflow import keras,Databases,0
working on a web app,"javascript, backend, sql",UPDATE users SET name='Alex';,Web Development,0
making a login system,"backend, javascript, css",console.log('hello'),Web Development,1
building a website,"node, frontend, query",SELECT * FROM users;,Web Development,0
writing SQL queries,"database, columns",DELETE FROM users WHERE id=1;,Databases,1
optimizing database,"query, index, neural network",predict(X_test),Databases,0
idk doing coding,"typing, programming",console.log('test'),Databases,0
fetching records,"columns, rows, table",,Databases,1
coding lang eh,"typing, programming",echo 'hi';,Web Development,0
creating a responsive layout,"html, frontend, react",document.getElementById('app'),Machine Learning,0
,"api, backend, table",CREATE TABLE users(id INT);,Web Development,0
working on something,"typing, computer",int a = 5;,Databases,0
making something idk,"css, react, query",DELETE FROM users WHERE id=1;,Web Development,0
fixing frontend bugs,"css, api, react",<div>Hello</div>,Databases,0
writing SQL queries,"columns, sql, database, rows",CREATE TABLE users(id INT);,Databases,1
improving accuracy,"dataset, training, neural network",from tensorflow import keras,Databases,0
analyzing data,"model, dataset, javascript",console.log('hello'),Machine Learning,0
working on something,"training, prediction, database",UPDATE users SET name='Alex';,Machine Learning,0
training a model,"prediction, neural network, accuracy, dataset",from tensorflow import keras,Machine Learning,1
working on something,"neural network, accuracy, query",UPDATE users SET name='Alex';,Machine Learning,0
managing tables,"table, database, query, index",DELETE FROM users WHERE id=1;,Databases,1
coding lang eh,"code, typing",console.log('test'),Machine Learning,0
handling data storage,"sql, database",DELETE FROM users WHERE id=1;,Databases,1
making something idk,"programming, computer",int a = 5;,Databases,0
working on a web app,"backend, frontend, ai",,Web Development,0
testing a neural network,"prediction, accuracy",import sklearn,Machine Learning,1
coding lang eh,"typing, computer",print('hello'),Databases,0
writing SQL queries,"table, index, dataset",import sklearn,Databases,0
creating a responsive layout,"api, css, dataset",from tensorflow import keras,Web Development,0
testing a neural network,"training, model, database",INSERT INTO users VALUES ('John');,Machine Learning,0
fixing frontend bugs,"api, react, css",function App() { return <h1>Hi</h1>; },Web Development,1
working on a web app,"css, html, node, javascript",,Web Development,1
idk doing coding,"computer, typing",echo 'hi';,Web Development,0
coding lang eh,"api, backend, frontend",function App() { return <h1>Hi</h1>; },Web Development,1
optimizing database,"database, sql, frontend",document.getElementById('app'),Databases,0
working on a web app,,console.log('hello'),Web Development,1
fetching records,"index, database",SELECT * FROM users;,Databases,1
trying to fix bugs,"programming, computer",print('hello'),Machine Learning,0
making something idk,"css, node, html, javascript",function App() { return <h1>Hi</h1>; },Web Development,1
trying to fix bugs,"css, react, accuracy",import sklearn,Web Development,0
trying to fix bugs,"computer, programming",console.log('test'),Databases,0
handling data storage,"table, database",SELECT * FROM users;,Machine Learning,0
fixing frontend bugs,,DELETE FROM users WHERE id=1;,Web Development,0
making a login system,"node, api",<div>Hello</div>,Web Development,1
making something idk,"dataset, accuracy, model",predict(X_test),Web Development,0
,,DELETE FROM users WHERE id=1;,Databases,1
making a login system,,document.getElementById('app'),Web Development,1
making a login system,"frontend, javascript, accuracy",import sklearn,Web Development,0
making a login system,"node, css, index",CREATE TABLE users(id INT);,Web Development,0
training a model,,UPDATE users SET name='Alex';,Machine Learning,0
creating a responsive layout,,fetch('/api/data'),Web Development,1
fetching records,"query, index, html",fetch('/api/data'),Databases,0
writing SQL queries,,CREATE TABLE users(id INT);,Databases,1
managing tables,"rows, database, index",CREATE TABLE users(id INT);,Machine Learning,0
,"ai, prediction, model, accuracy",,Web Development,0
debugging rn,"code, computer",echo 'hi';,Databases,0
working on something,"computer, programming",console.log('test'),Databases,0
writing SQL queries,"database, sql",,Databases,1
working on something,"model, ai","model.fit(X, y)",Machine Learning,1
analyzing data,"ai, training, prediction",,Machine Learning,1
making a login system,"api, backend, javascript",function App() { return <h1>Hi</h1>; },Web Development,1
making something idk,"code, programming",print('hello'),Databases,0
idk doing coding,"query, rows, database",CREATE TABLE users(id INT);,Databases,1
creating a responsive layout,"frontend, css, neural network",import sklearn,Web Development,0
improving accuracy,"ai, neural network",loss.backward(),Machine Learning,1
handling data storage,"query, index",INSERT INTO users VALUES ('John');,Web Development,0
coding lang eh,"table, columns, database",CREATE TABLE users(id INT);,Databases,1
training a model,"training, accuracy, index",DELETE FROM users WHERE id=1;,Machine Learning,0
fixing frontend bugs,"api, node, html",function App() { return <h1>Hi</h1>; },Databases,0
handling data storage,"columns, sql, css",,Databases,0
uh fixing stuff,"neural network, model, accuracy, prediction",loss.backward(),Web Development,0
fetching records,"rows, table, index",DELETE FROM users WHERE id=1;,Web Development,0
fetching records,"database, columns, api",<div>Hello</div>,Databases,0
trying to fix bugs,"dataset, model, prediction, ai","model.fit(X, y)",Web Development,0
working on a web app,"react, backend",fetch('/api/data'),Web Development,1
working on something,"react, css, rows",DELETE FROM users WHERE id=1;,Web Development,0
coding lang eh,"rows, table, html",function App() { return <h1>Hi</h1>; },Databases,0
working on a web app,,console.log('hello'),Machine Learning,0
optimizing database,"query, sql, javascript",<div>Hello</div>,Databases,0
writing SQL queries,"table, sql, database",CREATE TABLE users(id INT);,Databases,1
making a login system,"css, frontend",function App() { return <h1>Hi</h1>; },Web Development,1
creating a responsive layout,"node, javascript",document.getElementById('app'),Web Development,1
handling data storage,"table, index, api",,Databases,0
testing a neural network,"model, accuracy, database",DELETE FROM users WHERE id=1;,Machine Learning,0
optimizing database,"columns, rows, database, query",INSERT INTO users VALUES ('John');,Databases,1
uh fixing stuff,"react, css, node, javascript",document.getElementById('app'),Databases,0
optimizing database,"table, index, rows, database",SELECT * FROM users;,Databases,1
,,loss.backward(),Machine Learning,1
optimizing database,"database, columns, index",UPDATE users SET name='Alex';,Databases,1
making something idk,"computer, programming",print('hello'),Machine Learning,0
improving accuracy,"model, neural network",from tensorflow import keras,Machine Learning,1
working on a web app,"css, react, frontend",document.getElementById('app'),Web Development,1
optimizing database,"sql, rows, css",<div>Hello</div>,Databases,0
analyzing data,"dataset, accuracy, training, model",predict(X_test),Machine Learning,1
analyzing data,,"model.fit(X, y)",Machine Learning,1
writing SQL queries,"database, query",UPDATE users SET name='Alex';,Databases,1
analyzing data,"prediction, neural network, database",DELETE FROM users WHERE id=1;,Machine Learning,0
coding lang eh,,from tensorflow import keras,Machine Learning,1
handling data storage,"sql, database, index",INSERT INTO users VALUES ('John');,Databases,1
working on predictions,"prediction, dataset",import sklearn,Machine Learning,1
analyzing data,"accuracy, dataset, neural network",predict(X_test),Machine Learning,1
training a model,,DELETE FROM users WHERE id=1;,Machine Learning,0
making something idk,"react, node, database",DELETE FROM users WHERE id=1;,Web Development,0
working on a web app,,CREATE TABLE users(id INT);,Web Development,0
fixing frontend bugs,"javascript, node, react",fetch('/api/data'),Web Development,1
,"prediction, neural network, dataset",loss.backward(),Machine Learning,1
coding lang eh,"typing, code",int a = 5;,Databases,0
training a model,"neural network, model, training, ai",from tensorflow import keras,Machine Learning,1
fixing frontend bugs,"node, frontend",console.log('hello'),Databases,0
making something idk,"computer, programming",echo 'hi';,Web Development,0
managing tables,"columns, database, prediction",loss.backward(),Databases,0
working on something,"prediction, dataset, training","model.fit(X, y)",Databases,0
debugging rn,"prediction, dataset, index",INSERT INTO users VALUES ('John');,Machine Learning,0
working on predictions,"neural network, dataset, accuracy, training",predict(X_test),Machine Learning,1
making something idk,"columns, rows, css",function App() { return <h1>Hi</h1>; },Databases,0
writing SQL queries,"index, columns, database, query",UPDATE users SET name='Alex';,Databases,1
analyzing data,"model, ai",,Databases,0
uh fixing stuff,"index, columns",DELETE FROM users WHERE id=1;,Databases,1
debugging rn,"training, accuracy, backend",document.getElementById('app'),Machine Learning,0
working on a web app,"javascript, api, columns",DELETE FROM users WHERE id=1;,Web Development,0
working on predictions,"model, prediction",import sklearn,Databases,0
working on predictions,"ai, prediction, accuracy, dataset",,Web Development,0
improving accuracy,"accuracy, model, ai, training",predict(X_test),Machine Learning,1
analyzing data,"accuracy, prediction, model",from tensorflow import keras,Machine Learning,1
optimizing database,"table, sql, rows, index",CREATE TABLE users(id INT);,Databases,1
writing SQL queries,"table, rows, neural network",,Databases,0
working on predictions,"prediction, accuracy, training, neural network",,Machine Learning,1
working on a web app,"node, api, css",fetch('/api/data'),Web Development,1
coding lang eh,"computer, typing",int a = 5;,Databases,0
idk doing coding,"code, computer",print('hello'),Machine Learning,0
improving accuracy,"neural network, training, node",fetch('/api/data'),Machine Learning,0
fixing frontend bugs,"react, javascript, query",INSERT INTO users VALUES ('John');,Web Development,0
making a login system,"api, frontend, table",CREATE TABLE users(id INT);,Web Development,0
handling data storage,"query, index",INSERT INTO users VALUES ('John');,Databases,1
handling data storage,"table, columns, index",INSERT INTO users VALUES ('John');,Web Development,0
uh fixing stuff,"query, sql, css",<div>Hello</div>,Databases,0
making something idk,"index, query, backend",document.getElementById('app'),Databases,0
,"html, css, database",UPDATE users SET name='Alex';,Web Development,0
coding lang eh,"rows, index, columns, query",INSERT INTO users VALUES ('John');,Databases,1
debugging rn,"typing, programming",echo 'hi';,Databases,0
writing SQL queries,"database, rows",SELECT * FROM users;,Databases,1
idk doing coding,"typing, code",print('hello'),Web Development,0
uh fixing stuff,"sql, database, javascript",fetch('/api/data'),Databases,0
,"javascript, html, api, frontend",function App() { return <h1>Hi</h1>; },Databases,0
working on predictions,"ai, prediction, training, dataset",,Machine Learning,1
coding lang eh,"programming, code",console.log('test'),Databases,0
idk doing coding,"index, sql, html",fetch('/api/data'),Databases,0
,"ai, training",from tensorflow import keras,Databases,0
analyzing data,"ai, training, css",fetch('/api/data'),Machine Learning,0
managing tables,"database, table",UPDATE users SET name='Alex';,Databases,1
idk doing coding,"prediction, accuracy, dataset, training",from tensorflow import keras,Machine Learning,1
trying to fix bugs,"html, frontend, backend, node",document.getElementById('app'),Web Development,1
idk doing coding,"computer, programming",print('hello'),Web Development,0
trying to fix bugs,"computer, code",console.log('test'),Web Development,0
managing tables,"query, rows, columns, table",DELETE FROM users WHERE id=1;,Databases,1
making a login system,"frontend, react, api, javascript",function App() { return <h1>Hi</h1>; },Web Development,1
working on a web app,"node, html",console.log('hello'),Web Development,1
improving accuracy,"neural network, accuracy, training, model",predict(X_test),Databases,0
making a login system,,function App() { return <h1>Hi</h1>; },Web Development,1
improving accuracy,"prediction, accuracy, html",function App() { return <h1>Hi</h1>; },Machine Learning,0
optimizing database,"table, query, rows",CREATE TABLE users(id INT);,Databases,1
idk doing coding,,INSERT INTO users VALUES ('John');,Databases,1
managing tables,"index, sql",CREATE TABLE users(id INT);,Databases,1
fetching records,"index, rows, query, database",SELECT * FROM users;,Databases,1
creating a responsive layout,"frontend, backend, database",INSERT INTO users VALUES ('John');,Web Development,0
handling data storage,"rows, columns, javascript",console.log('hello'),Databases,0
improving accuracy,"neural network, accuracy, react",<div>Hello</div>,Machine Learning,0
uh fixing stuff,"rows, database, table, sql",SELECT * FROM users;,Web Development,0
idk doing coding,"training, neural network",import sklearn,Machine Learning,1
handling data storage,"rows, database",INSERT INTO users VALUES ('John');,Web Development,0
fetching records,"columns, table, index, rows",DELETE FROM users WHERE id=1;,Databases,1
working on predictions,"training, neural network, frontend",<div>Hello</div>,Machine Learning,0
writing SQL queries,,UPDATE users SET name='Alex';,Databases,1
,"javascript, api, model",import sklearn,Web Development,0
working on predictions,"ai, training, dataset, neural network",,Databases,0
,"api, css, training",predict(X_test),Web Development,0
trying to fix bugs,"computer, code",print('hello'),Web Development,0
uh fixing stuff,"react, node, neural network",,Web Development,0
